paper_id,method,orig_method,difficulty,gt_m_level,gt_d_level,needs_human,L3_scoreable,L4_scoreable,Kimi-128k_L3_method_agree,Kimi-128k_L4_direction_agree,Kimi-128k_L3a,Kimi-128k_L3b,Kimi-128k_detected,Kimi-128k_direction,Claude-Sonnet_L3_method_agree,Claude-Sonnet_L4_direction_agree,Claude-Sonnet_L3a,Claude-Sonnet_L3b,Claude-Sonnet_detected,Claude-Sonnet_direction,GPT-4o_L3_method_agree,GPT-4o_L4_direction_agree,GPT-4o_L3a,GPT-4o_L3b,GPT-4o_detected,GPT-4o_direction,o3_L3_method_agree,o3_L4_direction_agree,o3_L3a,o3_L3b,o3_detected,o3_direction,Claude-Opus_L3_method_agree,Claude-Opus_L4_direction_agree,Claude-Opus_L3a,Claude-Opus_L3b,Claude-Opus_detected,Claude-Opus_direction,Gemini-2.5_L3_method_agree,Gemini-2.5_L4_direction_agree,Gemini-2.5_L3a,Gemini-2.5_L3b,Gemini-2.5_detected,Gemini-2.5_direction,GPT-5_L3_method_agree,GPT-5_L4_direction_agree,GPT-5_L3a,GPT-5_L3b,GPT-5_detected,GPT-5_direction
paper_91,UNSCORED,EVENT_STUDY,medium,2of4_tie,2of4_plurality,1,0,0,0,0,0,0,DID,negative,0,0,0,0,EVENT_STUDY,negative,0,0,0,0,DID,negative,0,0,0,0,DID,negative,0,0,0,0,EVENT_STUDY,negative,0,0,0,0,EVENT_STUDY,negative,0,0,0,0,DID,negative
paper_92,IV,IV,easy,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive
paper_93,IV,IV,medium,2of4_plurality,2of4_plurality,0,1,1,1,1,1,1,IV,negative,1,1,1,1,IV,negative,1,1,1,1,IV,negative,1,1,1,1,IV,negative,1,1,1,1,IV,negative,1,1,1,1,IV,negative,1,0,1,0,IV,positive
paper_94,DID,IV,hard,3of4_agree,3of4_agree,0,1,1,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,0,1,0,DID,negative,1,1,1,1,DID,positive,1,0,1,0,DID,negative,1,1,1,1,DID,positive
paper_95,RDD,RDD,easy,all4_agree,2of4_plurality,0,1,1,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive
paper_96,UNSCORED,RDD,medium,2of4_tie,2of4_plurality,1,0,0,0,0,0,0,DID,positive,0,0,0,0,RDD,positive,0,0,0,0,RDD,negative,0,0,0,0,RDD,negative,0,0,0,0,RDD,positive,0,0,0,0,RDD,negative,0,0,0,0,RDD,positive
paper_97,RDD,RDD,hard,all4_agree,2of4_plurality,0,1,0,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,negative
paper_98,DID,DID,easy,3of4_agree,split,1,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,negative
paper_99,DID,DID,medium,all4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative,0,0,0,0,RDD,positive,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,EVENT_STUDY,positive
paper_100,RDD,DID,hard,2of4_plurality,split,1,1,0,0,0,0,0,DID,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,0,0,0,0,DID,positive
paper_101,DID,EVENT_STUDY,easy,3of4_agree,split,1,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,positive
paper_102,DID,EVENT_STUDY,medium,3of4_agree,3of4_agree,0,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,0,0,0,0,EVENT_STUDY,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative
paper_103,IV,IV,easy,2of4_plurality,split,1,1,0,0,0,0,0,DID,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,negative,1,0,1,0,IV,positive,1,0,1,0,IV,positive
paper_104,DID,IV,medium,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,0,1,0,1,IV,positive,0,1,0,1,IV,positive,1,1,1,1,DID,positive,0,1,0,1,IV,positive
paper_105,IV,IV,hard,3of4_agree,2of4_plurality,0,1,1,0,1,0,1,DID,negative,1,1,1,1,IV,negative,1,0,1,0,IV,positive,1,1,1,1,IV,negative,1,1,1,1,IV,negative,1,0,1,0,IV,positive,1,1,1,1,IV,negative
paper_106,RDD,RDD,easy,all4_agree,2of4_plurality,0,1,0,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,negative,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,negative
paper_107,DID,RDD,medium,2of4_plurality,split,1,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative
paper_108,RDD,RDD,hard,all4_agree,2of4_plurality,0,1,0,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,negative,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive
paper_109,DID,DID,easy,2of4_plurality,2of4_plurality,0,1,0,0,0,0,0,RDD,positive,0,0,0,0,IV,positive,0,0,0,0,IV,negative,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive
paper_110,DID,DID,medium,all4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,1,1,1,DID,positive,1,0,1,0,DID,negative,1,1,1,1,DID,positive
paper_111,OTHER,DID,hard,3of4_agree,2of4_plurality,0,0,0,0,0,0,0,DID,positive,0,0,0,0,,positive,0,0,0,0,DID,positive,0,0,0,0,DID,negative,0,0,0,0,,negative,0,0,0,0,EVENT_STUDY,,0,0,0,0,RDD,negative
paper_112,DID,EVENT_STUDY,medium,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,0,1,0,1,IV,positive,0,1,0,1,IV,positive,1,1,1,1,DID,positive
paper_113,OTHER,IV,easy,3of4_agree,2of4_plurality,0,0,0,0,0,0,0,DID,positive,0,0,0,0,,positive,0,0,0,0,DID,positive,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,DID,positive,0,0,0,0,RDD,positive,0,0,0,0,EVENT_STUDY,positive
paper_114,IV,IV,medium,2of4_plurality,split,1,1,0,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,0,0,0,0,RDD,positive,0,0,0,0,,positive,0,0,0,0,RDD,positive
paper_115,IV,IV,hard,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,0,1,0,1,DID,positive
paper_116,RDD,RDD,easy,all4_agree,2of4_plurality,0,1,0,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,negative,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive
paper_117,RDD,RDD,medium,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,RDD,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,1,0,1,0,RDD,positive,0,0,0,0,IV,positive,1,0,1,0,RDD,positive,0,0,0,0,IV,positive
paper_118,DID,DID,easy,all4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative,0,0,0,0,EVENT_STUDY,negative,1,0,1,0,DID,negative,0,0,0,0,EVENT_STUDY,negative,0,0,0,0,EVENT_STUDY,negative
paper_119,DID,DID,medium,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,positive,0,1,0,1,RDD,positive,0,1,0,1,IV,positive,1,0,1,0,DID,,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive
paper_120,DID,DID,hard,all4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,,0,0,0,0,EVENT_STUDY,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,0,0,0,0,EVENT_STUDY,negative
paper_121,UNSCORED,EVENT_STUDY,easy,split,3of4_agree,1,0,0,0,0,0,0,DID,negative,0,0,0,0,DID,negative,0,0,0,0,DID,negative,0,0,0,0,DID,negative,0,0,0,0,DID,positive,0,0,0,0,DID,negative,0,0,0,0,EVENT_STUDY,positive
paper_122,EVENT_STUDY,EVENT_STUDY,medium,2of4_plurality,3of4_agree,0,1,1,1,0,1,0,EVENT_STUDY,positive,1,1,1,1,EVENT_STUDY,negative,0,0,0,0,DID,positive,0,1,0,1,DID,negative,0,1,0,1,DID,negative,0,1,0,1,DID,negative,1,1,1,1,EVENT_STUDY,negative
paper_123,IV,IV,medium,3of4_agree,2of4_plurality,0,1,0,0,0,0,0,DID,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,negative,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,negative
paper_124,DID,IV,hard,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,,1,1,1,1,DID,negative,1,1,1,1,DID,negative,0,1,0,1,IV,negative,1,0,1,0,DID,positive
paper_125,RDD,RDD,easy,all4_agree,2of4_plurality,0,1,0,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,0,0,0,0,IV,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,0,0,0,0,EVENT_STUDY,positive
paper_126,RDD,RDD,medium,2of4_plurality,2of4_plurality,0,1,0,0,0,0,0,DID,negative,1,0,1,0,RDD,positive,1,0,1,0,RDD,,0,0,0,0,DID,,1,0,1,0,RDD,positive,0,0,0,0,IV,,0,0,0,0,IV,negative
paper_127,DID,RDD,hard,3of4_agree,3of4_agree,0,1,1,1,1,1,1,DID,negative,1,1,1,1,DID,negative,0,1,0,1,EVENT_STUDY,negative,1,1,1,1,DID,negative,1,1,1,1,DID,negative,0,1,0,1,EVENT_STUDY,negative,0,1,0,1,EVENT_STUDY,negative
paper_128,DID,DID,easy,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive
paper_129,DID,DID,medium,all4_agree,3of4_agree,0,1,1,1,1,1,1,DID,negative,1,0,1,0,DID,positive,1,1,1,1,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,1,1,1,DID,negative,1,0,1,0,DID,positive
paper_130,DID,DID,hard,all4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,0,0,0,0,EVENT_STUDY,negative
paper_131,DID,EVENT_STUDY,easy,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,positive,0,1,0,1,IV,positive,1,1,1,1,DID,positive,0,0,0,0,EVENT_STUDY,,0,1,0,1,IV,positive,0,1,0,1,IV,positive,1,1,1,1,DID,positive
paper_132,DID,EVENT_STUDY,medium,2of4_plurality,2of4_plurality,0,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative
paper_133,IV,IV,easy,2of4_plurality,2of4_plurality,0,1,1,0,1,0,1,DID,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,0,1,0,1,DID,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive
paper_134,DID,IV,medium,2of4_plurality,2of4_plurality,0,1,1,1,0,1,0,DID,,1,1,1,1,DID,negative,1,1,1,1,DID,negative,0,1,0,1,IV,negative,1,0,1,0,DID,positive,1,1,1,1,DID,negative,0,1,0,1,EVENT_STUDY,negative
paper_135,DID,IV,hard,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,negative,0,0,0,0,IV,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative
paper_136,RDD,RDD,medium,all4_agree,2of4_plurality,0,1,1,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,0,1,0,1,DID,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,0,1,0,1,EVENT_STUDY,positive
paper_137,UNSCORED,RDD,hard,split,split,1,0,0,0,0,0,0,DID,negative,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,DID,negative,0,0,0,0,DID,positive,0,0,0,0,DID,negative,0,0,0,0,EVENT_STUDY,positive
paper_138,DID,DID,medium,2of4_plurality,2of4_plurality,0,1,0,1,0,1,0,DID,positive,0,0,0,0,,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative,0,0,0,0,,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive
paper_139,DID,DID,easy,3of4_agree,split,1,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,0,0,0,0,EVENT_STUDY,negative,0,0,0,0,EVENT_STUDY,negative,0,0,0,0,EVENT_STUDY,negative,1,0,1,0,DID,negative
paper_140,UNSCORED,EVENT_STUDY,hard,split,split,1,0,0,0,0,0,0,DID,positive,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,DID,positive,0,0,0,0,IV,positive
paper_141,OTHER,EVENT_STUDY,medium,2of4_plurality,split,1,0,0,0,0,0,0,DID,negative,0,0,0,0,DID,positive,0,0,0,0,DID,negative,0,0,0,0,DID,negative,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,DID,negative
paper_142,UNSCORED,EVENT_STUDY,medium,split,split,1,0,0,0,0,0,0,DID,negative,0,0,0,0,IV,positive,0,0,0,0,DID,negative,0,0,0,0,DID,negative,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,EVENT_STUDY,positive
paper_143,OTHER,IV,medium,2of4_plurality,2of4_plurality,0,0,1,0,1,0,1,DID,positive,0,1,0,1,IV,positive,0,1,0,1,DID,positive,0,1,0,1,IV,positive,0,1,0,1,IV,positive,0,1,0,1,IV,positive,0,1,0,1,IV,positive
paper_144,OTHER,IV,easy,2of4_plurality,split,1,0,0,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,EVENT_STUDY,positive
paper_145,DID,IV,medium,2of4_plurality,2of4_plurality,0,1,1,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,1,1,1,DID,negative,1,1,1,1,DID,negative,1,0,1,0,DID,positive,1,1,1,1,DID,negative,1,0,1,0,DID,positive
paper_146,DID,IV,hard,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,0,0,0,0,EVENT_STUDY,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative
paper_147,OTHER,RDD,medium,2of4_plurality,2of4_plurality,0,0,1,0,1,0,1,DID,negative,0,1,0,1,DID,negative,0,1,0,1,DID,negative,0,1,0,1,DID,negative,0,1,0,1,EVENT_STUDY,negative,0,1,0,1,DID,negative,0,1,0,1,DID,negative
paper_148,UNSCORED,DID,medium,split,split,1,0,0,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,IV,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive
paper_149,UNSCORED,EVENT_STUDY,medium,split,split,1,0,0,0,0,0,0,DID,negative,0,0,0,0,,negative,0,0,0,0,DID,negative,0,0,0,0,RDD,negative,0,0,0,0,IV,positive,0,0,0,0,RDD,positive,0,0,0,0,DID,positive
paper_150,IV,EVENT_STUDY,medium,2of4_plurality,2of4_plurality,0,1,0,1,0,1,0,IV,negative,1,0,1,0,IV,positive,1,0,1,0,IV,negative,1,0,1,0,IV,negative,1,0,1,0,IV,positive,1,0,1,0,IV,negative,1,0,1,0,IV,positive
paper_151,OTHER,IV,medium,2of4_plurality,split,1,0,0,0,0,0,0,RDD,,0,0,0,0,IV,positive,0,0,0,0,RDD,positive,0,0,0,0,EVENT_STUDY,negative,0,0,0,0,IV,negative,0,0,0,0,,positive,0,0,0,0,DID,positive
paper_152,IV,IV,easy,all4_agree,2of4_plurality,0,1,1,0,1,0,1,RDD,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive
paper_153,OTHER,RDD,medium,2of4_plurality,split,1,0,0,0,0,0,0,DID,negative,0,0,0,0,IV,negative,0,0,0,0,IV,negative,0,0,0,0,EVENT_STUDY,negative,0,0,0,0,,negative,0,0,0,0,IV,positive,0,0,0,0,IV,positive
paper_154,OTHER,RDD,medium,3of4_agree,2of4_plurality,0,0,0,0,0,0,0,RDD,negative,0,0,0,0,IV,positive,0,0,0,0,IV,negative,0,0,0,0,IV,positive,0,0,0,0,,positive,0,0,0,0,,negative,0,0,0,0,IV,positive
paper_155,DID,DID,medium,2of4_plurality,split,1,1,0,1,0,1,0,DID,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,1,0,1,0,DID,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive
paper_156,DID,DID,hard,2of4_plurality,2of4_plurality,0,1,1,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive
paper_157,DID,EVENT_STUDY,medium,2of4_plurality,2of4_plurality,0,1,1,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive
paper_158,UNSCORED,EVENT_STUDY,hard,split,split,1,0,0,0,0,0,0,RDD,positive,0,0,0,0,RDD,positive,0,0,0,0,RDD,positive,0,0,0,0,RDD,negative,0,0,0,0,RDD,positive,0,0,0,0,RDD,,0,0,0,0,RDD,positive
paper_159,DID,EVENT_STUDY,hard,2of4_plurality,2of4_plurality,0,1,0,1,0,1,0,DID,,0,0,0,0,EVENT_STUDY,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,IV,,0,0,0,0,EVENT_STUDY,positive
paper_160,IV,IV,hard,2of4_plurality,2of4_plurality,0,1,1,0,1,0,1,DID,positive,1,1,1,1,IV,positive,0,1,0,1,DID,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,0,1,0,IV,negative
paper_161,RDD,RDD,medium,all4_agree,2of4_plurality,0,1,1,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive
paper_162,DID,RDD,hard,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive
paper_163,OTHER,RDD,hard,2of4_plurality,split,1,0,0,0,0,0,0,DID,positive,0,0,0,0,RDD,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,RDD,positive,0,0,0,0,RDD,negative,0,0,0,0,DID,positive
paper_164,DID,DID,easy,3of4_agree,split,1,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative
paper_165,OTHER,DID,medium,2of4_plurality,split,1,0,0,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,IV,negative,0,0,0,0,IV,negative,0,0,0,0,DID,negative,0,0,0,0,IV,negative,0,0,0,0,DID,positive,0,0,0,0,EVENT_STUDY,negative
paper_166,DID,DID,medium,3of4_agree,split,1,1,0,1,0,1,0,DID,negative,0,0,0,0,EVENT_STUDY,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,0,0,0,0,EVENT_STUDY,negative,0,0,0,0,RDD,negative,0,0,0,0,RDD,positive
paper_167,DID,DID,hard,3of4_agree,split,1,1,0,1,0,1,0,DID,,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative
paper_168,DID,EVENT_STUDY,hard,2of4_plurality,2of4_plurality,0,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,positive
paper_169,DID,IV,easy,2of4_plurality,2of4_plurality,0,1,1,1,1,1,1,DID,positive,0,1,0,1,RDD,positive,0,1,0,1,RDD,positive,1,0,1,0,DID,negative,0,1,0,1,IV,positive,0,1,0,1,RDD,positive,0,0,0,0,RDD,negative
paper_170,DID,IV,hard,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative
paper_171,UNSCORED,IV,medium,split,2of4_plurality,1,0,1,0,1,0,1,DID,negative,0,0,0,0,,positive,0,1,0,1,IV,negative,0,1,0,1,DID,negative,0,0,0,0,,positive,0,0,0,0,,positive,0,0,0,0,IV,positive
paper_172,UNSCORED,IV,hard,split,split,1,0,0,0,0,0,0,DID,negative,0,0,0,0,EVENT_STUDY,negative,0,0,0,0,DID,negative,0,0,0,0,DID,negative,0,0,0,0,EVENT_STUDY,negative,0,0,0,0,EVENT_STUDY,negative,0,0,0,0,DID,negative
paper_173,RDD,RDD,easy,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive
paper_174,DID,DID,easy,3of4_agree,split,1,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative
paper_175,DID,DID,medium,3of4_agree,split,1,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,positive,0,0,0,0,IV,negative,1,0,1,0,DID,positive,1,0,1,0,DID,negative
paper_176,OTHER,EVENT_STUDY,easy,3of4_agree,2of4_plurality,0,0,0,0,0,0,0,RDD,positive,0,0,0,0,,positive,0,0,0,0,RDD,positive,0,0,0,0,IV,positive,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,RDD,positive,0,0,0,0,,negative
paper_177,EVENT_STUDY,EVENT_STUDY,easy,all4_agree,2of4_plurality,0,1,1,1,0,1,0,EVENT_STUDY,negative,1,1,1,1,EVENT_STUDY,positive,1,0,1,0,EVENT_STUDY,negative,1,0,1,0,EVENT_STUDY,negative,1,1,1,1,EVENT_STUDY,positive,1,0,1,0,EVENT_STUDY,negative,1,1,1,1,EVENT_STUDY,positive
paper_178,EVENT_STUDY,EVENT_STUDY,medium,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,EVENT_STUDY,positive,1,0,1,0,EVENT_STUDY,positive,1,0,1,0,EVENT_STUDY,negative,1,0,1,0,EVENT_STUDY,negative,1,0,1,0,EVENT_STUDY,positive,1,0,1,0,EVENT_STUDY,negative,1,0,1,0,EVENT_STUDY,positive
paper_180,OTHER,EVENT_STUDY,hard,2of4_plurality,split,1,0,0,0,0,0,0,DID,positive,0,0,0,0,DID,negative,0,0,0,0,DID,positive,0,0,0,0,DID,,0,0,0,0,EVENT_STUDY,negative,0,0,0,0,DID,positive,0,0,0,0,EVENT_STUDY,positive
paper_181,DID,IV,easy,2of4_plurality,2of4_plurality,0,1,1,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive
paper_182,IV,IV,medium,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive
paper_183,OTHER,IV,hard,2of4_plurality,split,1,0,0,0,0,0,0,RDD,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,EVENT_STUDY,positive
paper_184,OTHER,RDD,medium,2of4_plurality,split,1,0,0,0,0,0,0,DID,,0,0,0,0,IV,positive,0,0,0,0,DID,negative,0,0,0,0,RDD,positive,0,0,0,0,IV,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive
paper_185,DID,RDD,medium,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive
paper_186,DID,DID,medium,all4_agree,split,1,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative,0,0,0,0,IV,negative,0,0,0,0,IV,negative
paper_188,UNSCORED,DID,medium,2of4_tie,2of4_plurality,1,0,1,0,1,0,1,DID,positive,0,1,0,1,IV,positive,0,1,0,1,IV,positive,0,0,0,0,IV,negative,0,1,0,1,IV,positive,0,1,0,1,IV,positive,0,1,0,1,IV,positive
